id,long_name,tag
##############################################
##           1. Taxonomy of Stars           ##
##############################################
"01.00.00.00",Star,*
### 1.1 Massive Stars and their Remnants ###
"01.01.00.00",Massiv*,Ma*
"01.01.01.00",bCepV*,bC*
"01.01.02.00",Supergiant,sg*
"01.01.02.01",RedSG,s*r
"01.01.02.02",YellowSG,s*y
"01.01.02.03",BlueSG,s*b
"01.01.02.04",WolfRayet*,WR*
# Not indented on right level - subcategory of s*b
"01.01.03.00",Neutron*,N*
"01.01.03.01",Pulsar,Psr
"01.02.00.00",Massiv*_Candidate,Ma?
"01.02.01.00",bCepV*_Candidate,bC?
"01.02.02.00",SG*_Candidate,sg?
"01.02.02.01",RSG*_Candidate,s?r
"01.02.02.02",YSG*_Candidate,s?y
"01.02.02.03",BSG*_Candidate,s?b
"01.02.02.04",WR*_Candidate,WR?
# Not indented on right level - subcategory of s?b
"01.02.02.05",WR?,WR?
# Not sure why this is needed but it works
"01.02.03.00",NS_Candidate,N*?
### 1.2 Young Stellar Objects and Pre.Main Sequence Stars ###
"01.04.00.00",YSO,Y*O
"01.04.01.00",OrionV*,Or*
"01.04.02.00",TTauri*,TT*
"01.04.03.00",Ae*,Ae*
"01.04.04.00",Outflow,out
"01.04.04.01",HerbigHaroObj,HH
"01.05.00.00",YSO_Candidate,Y*?
"01.05.01.00",TTau*_Candidate,TT?
"01.05.02.00",Ae*_Candidate,Ae?
"01.05.03.00",outflow_Candidate,of?
### 1.3 Main Sequence Stars ###
"01.06.00.00",MainSequence*,MS*
"01.06.01.00",Be*,Be*
"01.06.02.00",BlueStraggler,BS*
"01.06.02.01",SXPheV*,SX*
"01.06.03.00",gammaDorV*,gD*
"01.06.04.00",delSctV*,dS*
"01.07.00.00",MainSequence*_Candidate,MS?
"01.07.01.00",Be*_Candidate,Be?
"01.07.02.00",'BSS_Candidate,BS?
### 1.4 Evolved Stars ###
"01.08.00.00",Evolved*,Ev*
"01.08.01.00",RGB*,RG*
"01.08.02.00",HotSubdwarf,HS*
"01.08.03.00",HorBranch*,HB*
"01.08.03.01",RRLyrae,RR*
"01.08.04.00",Type2Cep,WV*
"01.08.05.00",Cepheid,Ce*
"01.08.05.01",ClassicalCep,cC*
"01.08.06.00",C*,C*
"01.08.07.00",S*,S*
"01.08.08.00",LongPeriodV*,LP*
"01.08.09.00",AGB*,AB*
"01.08.09.01",Mira,Mi*
"01.08.10.00",OH/IR*,OH*
"01.08.11.00",post-AGB*,pA*
"01.08.12.00",RVTauV*,RV*
"01.08.13.00",PlanetaryNeb,PN
"01.08.14.00",WhiteDwarf,WD*
"01.09.00.00",Evolved*_Candidate,Ev?
"01.09.01.00",RGB*_Candidate,RB?
"01.09.02.00",Hsd_Candidate,HS?
"01.09.03.00",HB*_Candidate,HB?
"01.09.03.01",RRLyr_Candidate,RR?
"01.09.04.00",Type2Cep_Candidate,WV?
"01.09.05.00",Cepheid_Candidate,Ce?
"01.09.06.00",C*_Candidate,C*?
"01.09.07.00",S*_Candidate,S*?
"01.09.08.00",LP*_Candidate,LP?
"01.09.09.00",AGB*_Candidate,AB?
"01.09.09.01",Mi*_Candidate,Mi?
"01.09.10.00",OH_Candidate,OH?
"01.09.11.00",post-AGB*_Candidate,pA?
"01.09.12.00",RVTauV*,RV?
"01.09.13.00",PN_Candidate,PN?
"01.09.14.00",WD*_Candidate,WD?
## 1.5 Chemically Peculiar Stars ##
"01.10.00.00",ChemPec*,Pe*
"01.10.01.00",alf2CVnV*,a2*
"01.10.02.00",RCrBV*,RC*
"01.11.00.00",ChemPec*_Candidate,Pe?
"01.11.01.00",alf2CVnV*_Candidate,a2?
"01.11.02.00",RCrB_Candidate,RC?
### 1.6 Interacting Binaries and close Common Proper Motion Systems ##
"01.12.00.00",**,**
"01.12.01.00",EllipVar,El*
"01.12.02.00",EclBin,EB*
"01.12.02.01",EB*Algol,Al* # Left in for now - not sure if still part of classification scheme
"01.12.02.02",EB*betLyr,bL*  # Left in for now - not sure if still part of classification scheme
"01.12.02.03",EB*WUMa,WU*  # Left in for now - not sure if still part of classification scheme
"01.12.03.00",SB*,SB*
"01.12.04.00",BYDraV*,BY*
"01.12.05.00",RSCVnV*,RS*
"01.12.06.00",Symbiotic*,Sy*
"01.12.07.00",XrayBin,XB*
"01.12.07.01",LowMassXBin,LXB
"01.12.07.02",HightMassXBin,HXB
"01.12.08.00",CataclyV*,CV*
"01.12.08.01",Nova,No*
"01.12.08.02",Nova-like,NL*  # Not sure if still part of classification scheme. Should be one level indented
"01.12.08.03",DwarfNova,DN*  # Not sure if still part of classification scheme. Should be one level indented
"01.12.08.04",DQHer,DQ*  # Not sure if still part of classification scheme. Should be one level indented
"01.12.08.05",AMHer,AM*  # Not sure if still part of classification scheme. Should be one level indented
"01.13.00.00",**_Candidate,**?
"01.13.01.00",EllipVar_Candidate,El?
"01.13.02.00",EB*_Candidate,EB?
"01.13.03.00",SB*_Candidate,SB?
"01.13.04.00",BYDraV*_Candidate,BY?
"01.13.05.00",RSCVnV*_Candidate,RS?
"01.13.06.00",Symb*_Candidate,Sy?
"01.13.07.00",XB*_Candidate,XB?
"01.13.07.01",LMXB_Candidate,LX?
"01.13.07.02",HMXB_Candidate,HX?
"01.13.08.00",CV*_Candidate,CV?
"01.13.08.01",Nova_Candidate,No?
### 1.7 SuperNovae ###
"01.14.00.00",Supernova,SN*
"01.15.00.00",SN*_Candidate,SN?
### 1.8 Low mass Stars and substellar Objects ###
# "01.16.00.00",Sub-stellar,su* - No longer exists? Leave placeholder
"01.18.00.00",Low-Mass*,LM*
"01.18.01.00",BrownD*,BD*
"01.19.00.00",low-mass*_Candidate,LM?
"01.19.01.00",brownD*_Candidate,BD?
"01.20.00.00",Planet,Pl
"01.21.00.00",Planet_Candidate,Pl?
### 1.9 Properties: variability, spectral, kinematic, or environment
"01.22.00.00",Variable*,V*
"01.22.01.00",IrregularV*,Ir*
"01.22.02.00",Eruptive*,Er*
"01.22.03.00",RotV*,Ro*
"01.22.04.00",PulsV*,Pu*
"01.23.00.00",V*_Candidate,V*?
"01.23.02.00",Eruptive*_Candidate,Er?
"01.23.03.00",RotV*_Candidate,Ro?
"01.23.04.00",PulsV*_Candidate,Pu?
### 1.10 Spectral Properties
"01.24.00.00",EmLine*,Em*
### 1.11 Kinematic and Environment Properties ###
"01.25.00.00",HighPM*,PM*
"01.26.00.00",HighVel*,HV*
##############################################
##             2. Sets of Stars             ##
##############################################
"02.00.00.00",Cluster*,Cl*
"02.01.00.00",GlobCluster,GlC
"02.02.00.00",OpenCluster,OpC
"03.00.00.00",Cluster*_Candidate,Cl?
"03.01.00.00",GlCl_Candidate,Gl?
"04.00.00.00",Association,As*
"04.01.00.00",Stream,St*
"04.02.00.00",MouvGroup,MGr
"05.00.00.00",As*_Candidate,As?
##############################################
##          3. Interstellar Medium          ##
##############################################
"06.00.00.00",ISM,ISM
"06.01.00.00",StarFormingReg,SFR
"06.02.00.00",HIIReg,HII
"06.03.00.00",Cloud,Cld
"06.03.01.00",GalNeb,GNe
"06.03.01.01",RefNeb,RNe
"06.03.02.00",MolCld,MoC
"06.03.03.00",DarkNeb,DNe
"06.03.04.00",Globule,glb
"06.03.05.00",ComGlob,CGb
